ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_YGE65,2014,95,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_TOTAL,2014,67.4,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y15-24,2014,80.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y25-54,2014,65,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y55-64,2014,64.4,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_YGE65,2014,94.7,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_TOTAL,2014,63.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y15-24,2014,63.9,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y25-54,2014,61,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y55-64,2014,70.2,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_YGE65,2014,95.5,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE15,2015,63.4,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-24,2015,63.9,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE25,2015,63.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE15,2015,65.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_Y15-24,2015,71.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE25,2015,65.2,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE15,2015,60.1,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_Y15-24,2015,48.7,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE25,2015,60.9,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_TOTAL,2015,63.4,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y15-24,2015,63.9,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y25-54,2015,60.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y55-64,2015,68.4,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_YGE65,2015,94,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_TOTAL,2015,65.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y15-24,2015,71.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y25-54,2015,63.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y55-64,2015,66.4,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_YGE65,2015,92.8,,,,R1:3513
